0.000: [Full GC 0.000: [Tenured: 0K->117K(1408K), 0.0108748 secs] 174K->117K(1984K), [Perm : 1329K->1329K(8192K)], 0.0111210 secs]
0.029: [Full GC 0.029: [Tenured: 117K->118K(1408K), 0.0047869 secs] 128K->118K(1984K), [Perm : 1337K->1337K(8192K)], 0.0049439 secs]
0.034: [Full GC 0.034: [Tenured: 118K->130K(1408K), 0.0046296 secs] 132K->130K(1984K), [Perm : 1337K->1337K(8192K)], 0.0047601 secs]
0.040: [Full GC 0.040: [Tenured: 130K->118K(1408K), 0.0056499 secs] 150K->118K(1984K), [Perm : 1337K->1336K(8192K)], 0.0057935 secs]
0.046: [Full GC 0.046: [Tenured: 118K->130K(1408K), 0.0042796 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044131 secs]
0.051: [Full GC 0.051: [Tenured: 130K->130K(1408K), 0.0047827 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0049185 secs]
0.056: [Full GC 0.056: [Tenured: 130K->142K(1408K), 0.0042972 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0043595 secs]
0.061: [Full GC 0.061: [Tenured: 142K->118K(1408K), 0.0043997 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044643 secs]
0.066: [Full GC 0.066: [Tenured: 118K->130K(1408K), 0.0044684 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045302 secs]
0.071: [Full GC 0.071: [Tenured: 130K->130K(1408K), 0.0044779 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045433 secs]
0.076: [Full GC 0.076: [Tenured: 130K->142K(1408K), 0.0041896 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042497 secs]
0.080: [Full GC 0.080: [Tenured: 142K->118K(1408K), 0.0047257 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047911 secs]
0.085: [Full GC 0.085: [Tenured: 118K->130K(1408K), 0.0042366 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042972 secs]
0.090: [Full GC 0.090: [Tenured: 130K->130K(1408K), 0.0043939 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044575 secs]
0.095: [Full GC 0.095: [Tenured: 130K->142K(1408K), 0.0041821 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042408 secs]
0.100: [Full GC 0.100: [Tenured: 142K->118K(1408K), 0.0044003 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044640 secs]
0.105: [Full GC 0.105: [Tenured: 118K->130K(1408K), 0.0041891 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042494 secs]
0.109: [Full GC 0.109: [Tenured: 130K->130K(1408K), 0.0043782 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044422 secs]
0.114: [Full GC 0.114: [Tenured: 130K->142K(1408K), 0.0045014 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045612 secs]
0.119: [Full GC 0.119: [Tenured: 142K->118K(1408K), 0.0043729 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044358 secs]
0.124: [Full GC 0.124: [Tenured: 118K->130K(1408K), 0.0041916 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042503 secs]
0.128: [Full GC 0.128: [Tenured: 130K->130K(1408K), 0.0046992 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047651 secs]
0.133: [Full GC 0.133: [Tenured: 130K->142K(1408K), 0.0041933 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042522 secs]
0.138: [Full GC 0.138: [Tenured: 142K->118K(1408K), 0.0044042 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044679 secs]
